"category","bucket","fullName","destPath","cloneUrl"
"ios","top-stars","AvdLee/RocketSimApp","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\001_AvdLee-RocketSimApp","https://github.com/AvdLee/RocketSimApp.git"
"ios","top-stars","Wholiver/swiftui-design-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\002_Wholiver-swiftui-design-skill","https://github.com/Wholiver/swiftui-design-skill.git"
"ios","top-stars","furkancingoz/aso-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\003_furkancingoz-aso-skill","https://github.com/furkancingoz/aso-skill.git"
"ios","top-stars","Nagarjuna2997/ios-agent-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\004_Nagarjuna2997-ios-agent-skill","https://github.com/Nagarjuna2997/ios-agent-skill.git"
"ios","top-stars","ivan-magda/swift-security-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\005_ivan-magda-swift-security-skill","https://github.com/ivan-magda/swift-security-skill.git"
"ios","top-stars","mhaviv/Swift-FocusEngine-Agent-Skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\006_mhaviv-Swift-FocusEngine-Agent-Skill","https://github.com/mhaviv/Swift-FocusEngine-Agent-Skill.git"
"ios","top-stars","JustinPerea/app-store-review-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\007_JustinPerea-app-store-review-skill","https://github.com/JustinPerea/app-store-review-skill.git"
"ios","top-stars","ivan-magda/uikit-expert-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\008_ivan-magda-uikit-expert-skill","https://github.com/ivan-magda/uikit-expert-skill.git"
"ios","top-stars","koshkinvv/ios-agent-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\009_koshkinvv-ios-agent-skills","https://github.com/koshkinvv/ios-agent-skills.git"
"ios","top-stars","zinxj/uikit-expert-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\010_zinxj-uikit-expert-skill","https://github.com/zinxj/uikit-expert-skill.git"
"ios","top-stars","markgravity/app-tester-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\011_markgravity-app-tester-skill","https://github.com/markgravity/app-tester-skill.git"
"ios","top-stars","beydemirfurkan/appstore-release","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\012_beydemirfurkan-appstore-release","https://github.com/beydemirfurkan/appstore-release.git"
"ios","top-stars","zanwei/human-interface-guidelines-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\013_zanwei-human-interface-guidelines-skill","https://github.com/zanwei/human-interface-guidelines-skill.git"
"ios","top-stars","artbyjazi/app-store-approval","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\014_artbyjazi-app-store-approval","https://github.com/artbyjazi/app-store-approval.git"
"ios","top-stars","ebuntario/apple-hig","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\015_ebuntario-apple-hig","https://github.com/ebuntario/apple-hig.git"
"ios","top-stars","berkayturk/appstore-precheck","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\top-stars\016_berkayturk-appstore-precheck","https://github.com/berkayturk/appstore-precheck.git"
"ios","noname","marcotini/apple-app-store-aso","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\001_marcotini-apple-app-store-aso","https://github.com/marcotini/apple-app-store-aso.git"
"ios","noname","Rylaa/ios-marketing-att-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\002_Rylaa-ios-marketing-att-skill","https://github.com/Rylaa/ios-marketing-att-skill.git"
"ios","noname","OtherdaysStudio/springy-motion","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\003_OtherdaysStudio-springy-motion","https://github.com/OtherdaysStudio/springy-motion.git"
"ios","noname","moretea-labs/ios-engineering-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\004_moretea-labs-ios-engineering-skill","https://github.com/moretea-labs/ios-engineering-skill.git"
"ios","noname","mazen-salah/appstore-localization","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\005_mazen-salah-appstore-localization","https://github.com/mazen-salah/appstore-localization.git"
"ios","noname","martingeidobler/ios-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\006_martingeidobler-ios-mcp-server","https://github.com/martingeidobler/ios-mcp-server.git"
"ios","noname","alin6668/ios-mcp-lua","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\007_alin6668-ios-mcp-lua","https://github.com/alin6668/ios-mcp-lua.git"
"ios","noname","lastlookdev/ios-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\008_lastlookdev-ios-mcp-server","https://github.com/lastlookdev/ios-mcp-server.git"
"ios","noname","atian8179/app-settings-guide","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\009_atian8179-app-settings-guide","https://github.com/atian8179/app-settings-guide.git"
"ios","noname","Trentobobbi/uikit-mastery-playbook","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\010_Trentobobbi-uikit-mastery-playbook","https://github.com/Trentobobbi/uikit-mastery-playbook.git"
"ios","noname","arnoldalberto007-sys/Swift-UIKit-Components","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\011_arnoldalberto007-sys-Swift-UIKit-Components","https://github.com/arnoldalberto007-sys/Swift-UIKit-Components.git"
"ios","noname","Vladimir-Br/swiftui-project-template","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\012_Vladimir-Br-swiftui-project-template","https://github.com/Vladimir-Br/swiftui-project-template.git"
"ios","noname","aponeurosiswilling807/apple-hig","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\013_aponeurosiswilling807-apple-hig","https://github.com/aponeurosiswilling807/apple-hig.git"
